MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
371361000,2019-05-09T00:08:39,38.94973,-75.17617,3.5,-91.6,313.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
369235000,2019-05-09T00:09:19,38.93538,-75.15819,8.7,-138.0,268.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
367006540,2019-05-09T00:09:08,39.4947,-75.55981,11.1,195.7,195.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
338447000,2019-05-09T00:09:21,39.18952,-75.27739,9.6,-73.4,336.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
368058330,2019-05-09T00:07:17,39.29228,-75.37231,3.9,-91.7,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
366914210,2019-05-09T00:09:33,38.83787,-75.10643,11.4,41.1,46.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
538006702,2019-05-09T00:09:28,38.96699,-75.20089,0.5,5.1,99.0,NAMSEN,IMO9761528,V7QJ6,80.0,1.0,,,,,A
311000546,2019-05-09T00:09:48,38.91395,-75.15159,0.2,-63.9,98.0,,,,,1.0,,,,,A
371361000,2019-05-09T00:09:49,38.95058,-75.1771,3.4,-90.6,310.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
369235000,2019-05-09T00:08:10,38.93531,-75.15478,7.8,-130.8,269.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
370299000,2019-05-09T00:09:34,39.37192,-75.4632,13.4,-92.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
240463000,2019-05-09T00:10:03,38.94005,-75.17408,0.1,-113.6,35.0,BOUBOULINA,IMO9298753,SZIS,80.0,1.0,274.0,50.0,17.0,80.0,A
367120230,2019-05-09T00:10:02,38.93593,-75.15857,8.9,-137.3,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
367090580,2019-05-09T00:10:20,38.94212,-75.28078,24.3,72.3,511.0,BIG STONE 5,,WSE3119,60.0,0.0,15.0,4.0,,50.0,B
357092000,2019-05-09T00:10:33,38.8683,-75.1148,0.9,-131.7,70.0,LAVIEEN ROSE,IMO9700562,3FKN,70.0,1.0,179.0,28.0,10.1,,A
366914210,2019-05-09T00:10:43,38.84076,-75.10345,11.7,35.3,39.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
370299000,2019-05-09T00:10:44,39.37522,-75.46707,13.3,-92.6,319.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
368058330,2019-05-09T00:09:58,39.29436,-75.37496,3.9,-98.3,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
369235000,2019-05-09T00:11:09,38.93542,-75.16424,9.5,-141.5,264.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
367006540,2019-05-09T00:10:18,39.4913,-75.56098,11.1,194.8,194.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
311073800,2019-05-09T00:10:38,38.91943,-75.16234,8.9,147.2,145.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
249208000,2019-05-09T00:10:25,39.45276,-75.5575,16.3,141.1,138.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
338447000,2019-05-09T00:10:31,39.19246,-75.27896,9.7,-71.1,337.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
367120230,2019-05-09T00:11:11,38.93601,-75.16218,8.9,-138.7,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
311073800,2019-05-09T00:11:48,38.91702,-75.16032,8.8,146.6,145.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
371361000,2019-05-09T00:10:59,38.95135,-75.178,3.2,-90.6,305.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
368058330,2019-05-09T00:11:19,39.29545,-75.37631,4.0,-90.4,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
367006540,2019-05-09T00:12:08,39.48574,-75.56285,11.1,192.7,187.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
367090580,2019-05-09T00:12:12,38.94517,-75.26523,24.1,73.9,511.0,BIG STONE 5,,WSE3119,60.0,0.0,15.0,4.0,,50.0,B
370299000,2019-05-09T00:11:53,39.37832,-75.47072,13.2,-92.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
538006702,2019-05-09T00:12:32,38.96739,-75.20075,0.4,18.7,111.0,NAMSEN,IMO9761528,V7QJ6,80.0,1.0,,,,,A
538004030,2019-05-09T00:11:17,38.9282,-75.1634,0.1,-78.6,78.0,FRIO,IMO9596985,V7UU3,80.0,1.0,274.0,48.0,17.1,89.0,A
311000546,2019-05-09T00:12:48,38.91429,-75.15161,0.0,-52.3,107.0,,,,,1.0,,,,,A
249208000,2019-05-09T00:12:07,39.44688,-75.55106,16.4,139.8,140.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
311073800,2019-05-09T00:12:58,38.91462,-75.15823,8.9,146.2,145.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
338447000,2019-05-09T00:11:41,39.19538,-75.2805,9.8,-72.8,336.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
366914210,2019-05-09T00:12:43,38.84618,-75.0988,11.8,34.6,41.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
357092000,2019-05-09T00:13:33,38.86827,-75.11449,0.9,92.7,72.0,LAVIEEN ROSE,IMO9700562,3FKN,70.0,1.0,179.0,28.0,10.1,,A
369235000,2019-05-09T00:13:09,38.93534,-75.17072,8.3,-135.7,277.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
370299000,2019-05-09T00:13:03,39.3816,-75.47453,13.2,-92.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
371361000,2019-05-09T00:12:08,38.95198,-75.17878,2.3,-95.6,300.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
367120230,2019-05-09T00:12:21,38.93608,-75.16589,8.9,-138.9,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
367090580,2019-05-09T00:13:26,38.94707,-75.25497,23.9,78.6,511.0,BIG STONE 5,,WSE3119,60.0,0.0,15.0,4.0,,50.0,B
338447000,2019-05-09T00:13:41,39.20045,-75.28316,9.8,-72.2,337.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
367006540,2019-05-09T00:13:18,39.48221,-75.56344,11.1,184.2,181.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
367090580,2019-05-09T00:14:34,38.94847,-75.24541,24.3,80.6,511.0,BIG STONE 5,,WSE3119,60.0,0.0,15.0,4.0,,50.0,B
240463000,2019-05-09T00:13:06,38.94033,-75.17462,0.1,-102.6,45.0,BOUBOULINA,IMO9298753,SZIS,80.0,1.0,274.0,50.0,17.0,80.0,A
249208000,2019-05-09T00:13:08,39.44331,-75.54716,16.5,139.9,139.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
369235000,2019-05-09T00:14:19,38.93574,-75.17386,7.0,-126.0,289.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
311073800,2019-05-09T00:14:48,38.91067,-75.15475,9.7,144.6,143.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
371361000,2019-05-09T00:13:19,38.9524,-75.17932,1.5,-86.6,295.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
367120230,2019-05-09T00:13:32,38.93606,-75.16966,8.8,-139.6,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
249208000,2019-05-09T00:14:49,39.43743,-75.54063,16.6,139.7,139.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
368058330,2019-05-09T00:12:29,39.29643,-75.37741,4.0,-91.2,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
371361000,2019-05-09T00:14:49,38.95287,-75.17958,0.5,-64.6,285.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
368058330,2019-05-09T00:13:37,39.29737,-75.37852,4.0,-93.1,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
366914210,2019-05-09T00:13:52,38.84932,-75.09601,11.8,33.8,39.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,A
538004030,2019-05-09T00:14:15,38.92858,-75.16358,0.1,-67.1,89.0,FRIO,IMO9596985,V7UU3,80.0,1.0,274.0,48.0,17.1,89.0,A
367006540,2019-05-09T00:15:18,39.47599,-75.56349,11.2,178.2,175.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
369235000,2019-05-09T00:15:30,38.93645,-75.17653,6.3,-115.1,307.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
366914210,2019-05-09T00:15:52,38.85475,-75.09116,11.9,35.7,41.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
367120230,2019-05-09T00:14:41,38.93608,-75.17318,8.3,-140.9,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
370299000,2019-05-09T00:15:53,39.38925,-75.48328,13.0,-90.6,320.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
338447000,2019-05-09T00:15:52,39.20596,-75.28601,9.7,-71.5,337.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
370299000,2019-05-09T00:14:24,39.38523,-75.47875,13.1,-91.6,319.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
311000546,2019-05-09T00:15:48,38.91454,-75.15158,0.0,1.4,114.0,,,,,1.0,,,,,A
367120230,2019-05-09T00:16:21,38.93687,-75.17685,5.6,-108.7,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
